,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
68,Kapaa,22.08,-159.32,80.4,69,40,21.92,US,1595905430
69,Hawera,-39.59,174.28,55.0,84,86,3.0,NZ,1595905430
70,Saskylakh,71.92,114.08,56.46,55,53,10.25,RU,1595905430
71,Gisors,49.28,1.78,64.13,68,75,11.41,FR,1595905430
72,Isangel,-19.55,169.27,82.4,69,75,10.29,VU,1595905430
73,Puerto Escondido,15.85,-97.07,80.49,78,100,2.93,MX,1595905385
74,High Prairie,55.43,-116.49,71.73,64,62,7.49,CA,1595905293
75,Hīt,33.64,42.83,96.57,12,0,7.67,IQ,1595905430
76,Hasaki,35.73,140.83,84.78,74,75,13.87,JP,1595905430
77,Upernavik,72.79,-56.15,44.42,86,95,4.88,GL,1595905431
78,Dunedin,-45.87,170.5,52.0,61,100,4.0,NZ,1595905353
79,Provideniya,64.38,-173.3,53.6,81,40,13.42,RU,1595905431
81,Oranjestad,12.52,-70.03,82.4,78,20,14.99,AW,1595905235
82,Port Elizabeth,-33.92,25.57,44.6,87,0,4.7,ZA,1595905431
83,Fresno,36.67,-119.83,96.46,18,20,11.41,US,1595905258
84,Zeya,53.75,127.27,86.61,46,0,6.13,RU,1595905431
85,Shebunino,46.43,141.86,68.11,62,68,6.26,RU,1595905431
86,Saint-Philippe,-21.36,55.77,63.75,82,90,4.7,RE,1595905431
88,Lahad Datu,5.03,118.33,84.99,68,66,3.87,MY,1595905431
89,Pevek,69.7,170.31,35.31,86,0,11.45,RU,1595905431
90,Mahébourg,-20.41,57.7,64.4,93,75,4.7,MU,1595905431
91,Barrow,71.29,-156.79,39.2,80,90,24.16,US,1595905432
92,Fortuna,40.6,-124.16,56.64,90,92,1.01,US,1595905432
93,Albany,42.6,-73.97,78.1,80,60,5.17,US,1595905432
94,Atuona,-9.8,-139.03,79.74,71,0,25.7,PF,1595905432
95,Saint George,37.1,-113.58,98.02,11,1,17.22,US,1595905239
96,Xiongzhou,25.12,114.3,94.95,46,37,5.66,CN,1595905432
97,Oktyabr'skoye,43.06,44.74,62.29,93,0,2.24,RU,1595905432
98,Bathsheba,13.22,-59.52,82.4,78,20,13.87,BB,1595905299
99,Salalah,17.02,54.09,78.8,94,40,4.7,OM,1595905203
100,Bengkulu,-3.8,102.27,83.07,61,100,6.55,ID,1595905386
101,Kościerzyna,54.12,17.98,61.63,93,100,1.12,PL,1595905432
102,Hay River,60.82,-115.8,68.0,72,75,5.82,CA,1595905432
103,Hoa Binh,20.81,105.34,86.0,70,40,3.36,VN,1595905153
104,Chippewa Falls,44.94,-91.39,69.13,64,1,4.7,US,1595905432
105,Singaparna,-7.35,108.11,76.68,72,84,5.61,ID,1595905432
106,Mauguio,43.62,4.01,71.96,94,0,19.46,FR,1595905432
107,Polson,47.69,-114.16,76.17,59,0,0.94,US,1595905148
108,Praia,14.92,-23.51,77.0,83,75,10.29,CV,1595905317
109,Srandakan,-7.94,110.25,81.91,63,9,14.5,ID,1595905433
110,Kerman,30.28,57.08,68.0,22,0,4.7,IR,1595905433
111,Lebu,-37.62,-73.65,44.06,77,0,11.5,CL,1595905433
112,Ponta do Sol,32.67,-17.1,65.01,64,20,13.87,PT,1595905183
113,Launceston,-41.45,147.17,54.99,66,20,17.22,AU,1595905433
114,Ilhabela,-23.78,-45.36,71.24,71,1,3.69,BR,1595905433
115,Karratha,-20.74,116.85,77.16,21,13,16.55,AU,1595905433
116,Egvekinot,66.32,-179.17,50.38,68,100,6.62,RU,1595905433
117,Colares,38.8,-9.45,69.21,95,37,15.32,PT,1595905433
118,Faanui,-16.48,-151.75,79.0,80,88,12.97,PF,1595905258
119,Bushehr,28.97,50.84,93.2,75,40,18.34,IR,1595905433
120,Horta,38.53,-28.63,73.24,87,14,5.5,PT,1595905433
121,Meadow Lake,34.8,-106.54,76.14,41,75,16.11,US,1595905433
122,Kiryat Gat,31.61,34.76,75.69,79,0,2.33,IL,1595905433
123,Te Anau,-45.42,167.72,47.86,74,100,0.43,NZ,1595905434
124,Kavieng,-2.57,150.8,83.61,76,56,10.54,PG,1595905434
125,Skellefteå,64.75,20.95,59.63,93,93,6.93,SE,1595905434
126,Liverpool,53.41,-2.98,56.77,82,32,19.46,GB,1595905434
127,Cape Town,-33.93,18.42,54.73,93,1,10.29,ZA,1595905202
128,Hella,67.2,14.43,56.77,87,40,5.82,NO,1595905434
129,Mariental,-24.63,17.97,47.75,45,0,10.47,NA,1595905434
130,Iqaluit,63.75,-68.51,59.0,77,75,4.7,CA,1595905212
131,La Carolina,38.28,-3.62,78.01,61,0,1.01,ES,1595905434
132,Port Blair,11.67,92.75,84.11,77,100,12.93,IN,1595905434
133,Olinda,-8.01,-34.86,78.8,69,75,11.41,BR,1595905434
134,Bloomfield,40.81,-74.19,85.84,55,1,11.34,US,1595905364
135,Homer,59.64,-151.55,61.32,59,1,11.41,US,1595905434
136,Batemans Bay,-35.72,150.18,57.04,81,100,3.0,AU,1595905434
137,Castro,-24.79,-50.01,57.42,78,69,3.71,BR,1595905434
138,Severo-Kuril'sk,50.68,156.12,55.4,81,58,17.43,RU,1595905184
139,Beringovskiy,63.05,179.32,65.77,59,0,2.21,RU,1595905329
140,Bafra,41.57,35.91,68.0,88,75,4.7,TR,1595905435
141,Moyale,3.52,39.06,64.45,85,85,15.86,KE,1595905435
142,Tshikapa,-6.42,20.8,65.01,41,0,2.08,CD,1595905435
143,Broken Hill,-31.95,141.43,53.6,62,0,17.22,AU,1595905435
144,Kirovsk,48.64,38.64,66.74,47,67,8.52,UA,1595905435
145,Pisco,-13.7,-76.22,59.56,82,20,5.82,PE,1595905435
146,Camaná,-16.62,-72.71,57.4,76,52,5.88,PE,1595905435
147,Waipawa,-41.41,175.52,55.35,58,67,16.11,NZ,1595905345
148,Zhigansk,66.77,123.37,54.97,65,41,17.67,RU,1595905435
149,Cap Malheureux,-19.98,57.61,66.99,81,21,3.0,MU,1595905435
150,Esperance,-33.87,121.9,59.0,87,27,11.41,AU,1595905435
151,Khatanga,71.97,102.5,55.71,52,0,5.37,RU,1595905435
152,Berlevåg,70.86,29.09,66.2,59,0,9.17,NO,1595905435
153,Vila,42.03,-8.16,65.37,93,90,3.36,PT,1595905435
154,Lata,40.16,-8.33,66.04,87,100,1.01,PT,1595905435
155,Batagay-Alyta,67.8,130.41,56.95,50,94,4.38,RU,1595905435
156,Diego de Almagro,-26.37,-70.05,50.61,60,0,2.28,CL,1595905436
157,Kiama,-34.68,150.87,60.03,92,99,8.01,AU,1595905436
158,Morococha,-11.6,-76.14,36.16,82,44,2.53,PE,1595905436
159,Tongren,27.72,109.19,88.9,61,2,1.86,CN,1595905436
160,Uribia,11.71,-72.27,81.23,73,11,10.49,CO,1595905436
161,Merauke,-8.47,140.33,79.39,78,91,15.99,ID,1595905436
162,Tuktoyaktuk,69.45,-133.04,57.2,87,90,13.87,CA,1595905436
163,Polovinnoye,54.79,65.99,60.73,81,6,9.8,RU,1595905436
165,Hong Kong,22.29,114.16,90.34,55,98,11.01,HK,1595905180
166,Funadhoo,6.15,73.27,81.77,78,87,13.09,MV,1595905436
167,Zaria,11.11,7.72,71.47,92,100,5.91,NG,1595905436
168,Tuatapere,-46.13,167.68,48.99,82,100,2.53,NZ,1595905436
169,Katsuura,35.13,140.3,81.43,94,75,25.28,JP,1595905436
170,Zhenlai,45.85,123.3,75.99,59,87,4.0,CN,1595905436
171,Corn Island,12.17,-83.04,83.37,80,15,12.91,NI,1595905436
172,Kudahuvadhoo,2.67,72.89,82.62,76,92,11.52,MV,1595905437
173,Fairbanks,64.84,-147.72,56.48,82,90,6.93,US,1595905233
174,Arraial do Cabo,-22.97,-42.03,71.62,81,0,24.4,BR,1595905437
176,Lākshām,23.25,91.14,85.39,80,100,8.37,BD,1595905437
177,Hithadhoo,-0.6,73.08,82.87,78,100,14.05,MV,1595905437
178,Nouakchott,18.09,-15.98,80.6,83,92,8.05,MR,1595905437
179,Mercedes,-34.65,-59.43,38.32,47,49,1.01,AR,1595905437
180,Careiro da Várzea,-3.2,-59.81,78.85,74,26,1.7,BR,1595905437
181,Norman Wells,65.28,-126.83,66.2,59,75,11.41,CA,1595905437
182,Cherskiy,68.75,161.3,50.41,47,27,10.47,RU,1595905239
183,Saldanha,-33.01,17.94,46.4,75,0,1.12,ZA,1595905437
184,Maltahöhe,-24.83,16.98,42.64,56,0,5.88,NA,1595905437
185,Balikpapan,-1.27,116.83,80.6,88,40,4.7,ID,1595905437
186,Batman,37.89,41.13,80.6,44,75,3.36,TR,1595905438
187,Faya,18.39,42.45,63.5,93,75,11.41,SA,1595905438
188,Tigre,-34.43,-58.58,45.48,56,84,10.29,AR,1595905438
189,Opuwo,-18.06,13.84,52.27,45,0,6.4,NA,1595905438
190,Grootfontein,-19.57,18.12,38.12,71,0,4.47,NA,1595905438
191,Juegang,32.32,121.19,78.01,97,100,1.01,CN,1595905438
192,Rocha,-34.48,-54.33,45.59,70,100,9.84,UY,1595905438
193,Oriximiná,-1.77,-55.87,79.07,56,0,2.62,BR,1595905438
194,Kahului,20.89,-156.47,80.69,46,1,28.86,US,1595905438
195,Nguruka,-5.11,31.04,58.91,62,0,5.82,TZ,1595905438
196,San Jose,37.34,-121.89,70.03,56,1,14.99,US,1595905144
197,Caucayá,-0.19,-74.78,71.85,88,35,1.63,CO,1595905438
198,Hrob,50.66,13.73,65.01,89,100,5.97,CZ,1595905438
199,Suleja,9.18,7.18,75.2,94,75,2.24,NG,1595905438
201,Cidreira,-30.18,-50.21,58.71,97,97,6.22,BR,1595905438
202,Kota Bharu,6.13,102.24,84.09,74,20,5.82,MY,1595905439
203,West Wendover,40.74,-114.07,82.4,30,75,28.86,US,1595905439
204,Adrar,20.5,-10.07,90.82,37,2,20.27,MR,1595905327
205,Tiksi,71.69,128.87,40.14,85,100,17.07,RU,1595905439
206,Lüderitz,-26.65,15.16,51.8,93,0,2.24,NA,1595905439
207,Marabba,12.35,32.18,74.43,88,100,12.35,SD,1595905439
208,Broome,42.25,-75.83,72.79,83,1,4.7,US,1595905439
209,Channel-Port aux Basques,47.57,-59.14,61.03,82,8,1.19,CA,1595905439
210,Jalu,29.03,21.55,74.21,56,0,9.31,LY,1595905439
211,Monclova,26.9,-101.42,73.13,80,100,4.29,MX,1595905163
212,São Filipe,14.9,-24.5,75.83,77,97,7.14,CV,1595905222
213,Kruisfontein,-34.0,24.73,49.73,59,0,7.02,ZA,1595905439
214,Lompoc,34.64,-120.46,60.21,77,0,12.75,US,1595905439
215,São Geraldo do Araguaia,-6.4,-48.55,71.19,40,20,2.44,BR,1595905439
216,Coahuayana Viejo,18.73,-103.68,75.2,83,40,11.41,MX,1595905439
217,Sambava,-14.27,50.17,72.54,82,100,13.76,MG,1595905439
218,Sassandra,4.95,-6.08,73.76,86,100,7.4,CI,1595905440
219,Barra Patuca,15.8,-84.28,81.1,83,23,13.18,HN,1595905440
220,Lumphat,13.49,106.98,86.02,71,62,2.55,KH,1595905665
221,Vila Velha,-20.33,-40.29,66.2,93,0,1.12,BR,1595905563
222,San Policarpo,12.18,125.51,83.53,73,100,7.45,PH,1595905665
223,Paamiut,61.99,-49.67,46.67,84,100,3.76,GL,1595905665
224,Praxédis Guerrero,31.37,-106.02,87.87,29,5,4.76,MX,1595905665
225,Vao,-22.67,167.48,71.6,80,84,19.86,NC,1595905665
226,Ilulissat,69.22,-51.1,42.8,81,99,1.12,GL,1595905665
228,Natal,-5.79,-35.21,71.6,94,75,6.93,BR,1595905665
229,Port Moresby,-9.44,147.18,86.0,74,40,16.11,PG,1595905665
230,Stromness,58.97,-3.3,53.24,93,100,25.28,GB,1595905665
231,Inírida,3.87,-67.92,72.9,97,51,1.74,CO,1595905666
232,Sola,-13.88,167.55,80.26,83,82,22.59,VU,1595905666
233,Nacala,-14.54,40.67,69.58,80,48,10.0,MZ,1595905666
234,Sept-Îles,50.2,-66.38,62.11,88,40,5.26,CA,1595905450
235,Chokurdakh,70.63,147.92,50.05,56,100,4.63,RU,1595905574
236,Shingū,33.73,135.98,80.6,94,75,5.82,JP,1595905666
237,La Ronge,55.1,-105.28,75.2,47,5,4.7,CA,1595905666
238,Piranshahr,36.7,45.14,75.72,32,0,0.78,IR,1595905625
239,Teguise,29.06,-13.56,71.6,83,3,21.92,ES,1595905540
240,Methóni,36.82,21.7,72.7,72,0,4.7,GR,1595905666
241,Jiujiang,29.73,115.98,81.64,84,100,5.23,CN,1595905666
242,Mount Gambier,-37.83,140.77,55.4,76,75,5.82,AU,1595905666
243,Ayagoz,47.97,80.44,74.48,41,33,15.66,KZ,1595905666
244,Sur,22.57,59.53,86.7,65,0,10.96,OM,1595905666
245,Nouadhibou,20.93,-17.03,73.4,88,0,5.82,MR,1595905666
246,Skjervøy,70.03,20.97,56.93,74,45,9.73,NO,1595905666
247,Kamiiso,41.82,140.65,66.2,88,75,11.41,JP,1595905667
248,Coyhaique,-45.58,-72.07,32.0,84,83,2.24,CL,1595905667
249,Georgiyevka,43.04,74.71,75.2,41,40,8.95,KZ,1595905667
250,Nikki,9.94,3.21,70.9,97,62,4.43,BJ,1595905667
251,São João da Barra,-21.64,-41.05,71.2,82,0,15.17,BR,1595905456
252,Verkhniy Uslon,55.77,48.98,62.6,72,0,2.24,RU,1595905667
253,Podgornoye,51.73,39.15,59.0,67,0,4.47,RU,1595905667
254,Oussouye,12.48,-16.55,78.37,87,100,8.12,SN,1595905667
255,Kuril'sk,45.23,147.88,57.9,76,99,2.46,RU,1595905667
256,Dāmghān,36.17,54.35,81.75,33,0,4.61,IR,1595905626
257,Tautira,-17.73,-149.15,80.31,74,40,14.99,PF,1595905667
258,Lorengau,-2.02,147.27,84.24,71,71,1.86,PG,1595905667
259,Kapit,2.02,112.93,81.41,90,96,0.78,MY,1595905667
260,Pacifica,37.61,-122.49,58.15,72,20,17.22,US,1595905648
261,Basavana Bāgevādi,16.58,75.97,76.03,80,82,11.97,IN,1595905624
262,Yellowknife,62.46,-114.35,65.52,88,75,8.05,CA,1595905555
263,Bethel,41.37,-73.41,80.47,58,1,6.93,US,1595905379
264,Hecun,36.53,114.11,88.97,46,0,9.24,CN,1595905667
265,Bilibino,68.05,166.44,59.31,42,60,9.62,RU,1595905667
266,San Ignacio,17.16,-89.07,80.01,79,27,3.0,BZ,1595905668
267,Qandala,11.47,49.87,88.02,59,9,3.69,SO,1595905668
268,Puerto Suárez,-18.95,-57.8,72.55,50,0,2.86,BO,1595905668
269,Nikel,69.41,30.22,57.2,87,0,4.7,RU,1595905668
270,Halifax,44.65,-63.57,64.83,86,63,2.24,CA,1595905668
271,Nikolskoye,59.7,30.79,57.43,87,58,4.47,RU,1595905668
272,Puri,19.8,85.85,86.0,79,20,6.93,IN,1595905668
273,Port-Gentil,-0.72,8.78,74.89,82,11,12.77,GA,1595905668
274,Marsh Harbour,26.54,-77.06,82.26,77,43,6.96,BS,1595905514
276,Souillac,-20.52,57.52,64.4,93,75,4.7,MU,1595905668
277,Tommot,58.96,126.29,85.01,53,25,5.75,RU,1595905668
279,Xichang,27.9,102.26,76.5,60,83,2.71,CN,1595905668
280,Kang,-23.68,22.79,43.39,65,0,9.24,BW,1595905668
281,Hamilton,39.18,-84.53,71.65,94,1,4.7,US,1595905668
282,Serebryanyy Bor,56.8,124.8,82.27,55,0,9.4,RU,1595905668
283,Darnah,32.77,22.64,73.54,85,0,14.58,LY,1595905668
284,Itacaré,-14.28,-39.0,72.19,87,21,7.43,BR,1595905658
285,Ust-Nera,64.57,143.2,69.76,40,81,7.87,RU,1595905669
286,Namatanai,-3.67,152.43,85.05,68,12,7.61,PG,1595905669
287,Agadez,19.75,10.25,82.87,16,0,11.12,NE,1595905669
288,Fenoarivo Atsinanana,-17.37,49.42,67.23,88,94,4.34,MG,1595905669
289,Bambous Virieux,-20.34,57.76,65.62,93,75,4.7,MU,1595905669
290,Winnemucca,40.97,-117.74,78.01,31,63,13.0,US,1595905497
291,Dukat,62.55,155.55,75.36,34,4,16.91,RU,1595905669
292,Hervey Bay,-25.3,152.85,71.01,50,0,1.01,AU,1595905669
293,Mayor Pablo Lagerenza,-19.93,-60.77,70.92,51,0,2.64,PY,1595905669
294,Laguna,38.42,-121.42,81.18,28,5,9.17,US,1595905669
295,Chui,-33.7,-53.46,46.6,78,100,8.9,UY,1595905669
296,Hobe Sound,27.06,-80.14,76.08,78,40,5.82,US,1595905669
297,Bahía Blanca,-38.72,-62.27,37.87,73,0,6.6,AR,1595905538
298,Ullapool,57.9,-5.16,53.01,92,100,5.99,GB,1595905669
299,Tuy Hoa,13.08,109.3,90.57,56,80,3.8,VN,1595905669
300,Tonj,7.27,28.68,70.02,94,99,4.5,SS,1595905670
301,Yangi Marg`ilon,40.43,71.72,80.6,39,85,6.93,UZ,1595905670
302,Chernyshevskiy,63.01,112.47,58.19,55,100,9.4,RU,1595905670
303,Kawalu,-7.38,108.21,76.98,75,88,5.19,ID,1595905670
304,Oktyabr'skiy,54.48,53.47,59.88,82,0,3.78,RU,1595905670
305,Kodinsk,58.69,99.18,72.59,53,1,3.85,RU,1595905670
306,San Cristobal,7.77,-72.22,67.41,81,52,0.78,VE,1595905670
307,Serebryansk,49.69,83.29,69.8,60,75,6.71,KZ,1595905670
308,Pierre,44.37,-100.35,80.38,44,1,12.75,US,1595905670
309,Ukiah,39.15,-123.21,82.89,19,1,9.17,US,1595905670
310,Boyolangu,-8.12,111.89,80.22,64,74,11.81,ID,1595905545
311,Ubinskoye,55.31,79.68,62.87,69,0,3.47,RU,1595905670
312,Thinadhoo,0.53,72.93,82.53,76,99,8.34,MV,1595905395
313,Katakwi,1.89,33.97,65.41,89,92,2.01,UG,1595905670
314,Constitución,-35.33,-72.42,44.65,67,0,10.25,CL,1595905670
315,Takoradze,4.88,-1.76,74.07,87,100,11.43,GH,1595905670
316,Westport,41.14,-73.36,82.99,74,1,8.05,US,1595905623
317,Sarakhs,36.54,61.16,75.2,38,0,3.2,IR,1595905671
319,Ulcinj,41.93,19.22,76.89,44,0,10.29,ME,1595905671
320,Châteauroux,46.82,1.7,68.0,82,90,13.87,FR,1595905671
321,Raton,36.9,-104.44,61.56,82,90,9.17,US,1595905671
322,Leningradskiy,69.38,178.42,38.44,75,20,10.27,RU,1595905671
324,Petropavlovsk-Kamchatskiy,53.05,158.65,77.0,53,20,13.42,RU,1595905671
325,Pacific Grove,36.62,-121.92,60.51,77,75,5.82,US,1595905671
326,Ural,55.91,94.75,66.24,71,100,2.98,RU,1595905671
327,Novikovo,51.15,37.89,61.81,74,81,8.01,RU,1595905671
328,Kutum,14.2,24.67,73.65,67,19,16.28,SD,1595905671
329,Douentza,15.0,-2.95,82.96,61,100,7.25,ML,1595905671
330,Kumul,42.8,93.45,87.49,22,88,14.54,CN,1595905671
331,Hofn,64.25,-15.21,51.62,69,100,7.09,IS,1595905384
332,Mogocha,53.73,119.77,78.44,61,96,3.83,RU,1595905672
333,Departamento de Maldonado,-34.67,-54.92,47.5,61,100,7.0,UY,1595905672
334,Kopychyntsi,49.1,25.91,62.01,84,21,1.01,UA,1595905672
335,Atbasar,51.8,68.33,60.93,74,99,12.53,KZ,1595905672
336,Bilma,18.69,12.92,86.49,50,7,10.67,NE,1595905560
337,Freeport,40.66,-73.58,83.97,62,1,6.93,US,1595905646
338,Lapua,62.97,23.01,59.25,96,100,1.99,FI,1595905672
339,Kenai,60.55,-151.26,61.43,72,1,14.99,US,1595905672
340,La Roda,39.22,-2.15,73.65,43,0,1.99,ES,1595905672
341,Mongo,12.18,18.69,75.22,80,100,4.74,TD,1595905672
342,Yulara,-25.24,130.99,62.6,33,0,14.99,AU,1595905557
343,Port Hardy,50.7,-127.42,64.4,72,40,13.87,CA,1595905672
344,Yeniseysk,58.45,92.17,70.2,51,0,2.75,RU,1595905672
345,Fernie,49.5,-115.07,87.51,16,5,8.05,CA,1595905672
346,Akdepe,42.06,59.38,79.72,47,70,4.7,TM,1595905672
347,Tezu,27.92,96.17,78.48,85,100,1.48,IN,1595905672
348,Port Lincoln,-34.73,135.87,56.86,52,93,8.1,AU,1595905565
349,Aden,12.78,45.04,83.77,76,76,23.26,YE,1595905421
350,Santa Cruz de la Sierra,-17.8,-63.17,68.0,88,0,6.93,BO,1595905592
351,Chokwé,-24.53,32.98,58.62,89,62,4.43,MZ,1595905673
352,Kalga,50.93,118.9,76.71,70,100,11.74,RU,1595905673
353,Coquimbo,-29.95,-71.34,51.8,87,0,1.12,CL,1595905673
354,Rozivka,46.94,35.77,66.58,78,100,11.36,UA,1595905673
355,Goragorskiy,43.5,45.08,64.78,93,0,2.24,RU,1595905673
356,Marawi,8.0,124.29,84.0,73,39,5.99,PH,1595905673
357,Birao,10.28,22.79,72.21,92,99,6.91,CF,1595905673
358,Zhezkazgan,47.8,67.71,62.6,77,75,13.42,KZ,1595905673
359,Mossamedes,-15.2,12.15,64.09,77,0,4.88,AO,1595905673
360,Mountain Home,43.13,-115.69,89.6,17,40,3.36,US,1595905673
361,Nānākuli,21.39,-158.15,85.46,45,1,10.29,US,1595905673
362,Morón,-34.65,-58.62,41.94,54,70,8.05,AR,1595905454
363,Tamasane,-22.42,27.4,44.13,94,1,6.53,BW,1595905673
364,Nemuro,43.32,145.57,60.8,82,75,4.7,JP,1595905673
365,Talnakh,69.49,88.4,59.0,44,0,11.18,RU,1595905673
366,Ucluelet,48.93,-125.55,60.01,83,9,3.0,CA,1595905615
367,Pinega,64.7,43.39,60.4,87,7,3.83,RU,1595905673
368,Aller,43.12,-5.58,64.36,78,74,8.01,ES,1595905674
369,Pakhtakoron,40.16,68.75,84.24,20,3,5.44,TJ,1595905674
370,Nānpāra,27.87,81.5,73.99,96,77,7.11,IN,1595905674
371,Mahibadhoo,3.78,72.97,82.11,78,84,11.88,MV,1595905674
373,Cabedelo,-6.98,-34.83,75.04,82,33,15.95,BR,1595905674
374,Pankovka,58.5,31.2,60.35,88,100,3.94,RU,1595905674
375,Bogalusa,30.79,-89.85,75.29,88,1,2.1,US,1595905674
376,Anshun,26.25,105.93,76.12,66,0,5.01,CN,1595905674
377,Airai,-8.93,125.41,70.38,53,95,4.65,TL,1595905674
378,Charters Towers,-20.1,146.27,70.03,25,0,15.28,AU,1595905674
379,Henties Bay,-22.12,14.28,57.0,89,0,8.77,NA,1595905674
380,Ilo,-17.64,-71.34,58.41,78,85,3.33,PE,1595905674
381,Saravan,39.72,45.65,75.2,53,40,4.7,AM,1595905674
382,Klaksvík,62.23,-6.59,46.4,93,97,18.34,FO,1595905675
383,Tupaciguara,-18.59,-48.7,64.54,62,44,7.07,BR,1595905675
384,Baharly,38.44,57.43,91.71,38,0,4.85,TM,1595905675
385,Cuicatlan,17.8,-96.97,76.3,68,100,0.38,MX,1595905675
386,Kyabé,9.45,18.94,72.09,95,75,2.91,TD,1595905675
